2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-ec2b61782898a8d0b03d68fc63e81229-query.fastq.5
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-c542de4a90195893e9d865e54f0520dc-ref.fasta.81
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-396e442289ce14a42a6f16a9e7d1098a-test.fasta.10
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-dc3757db948407bd7c6cc58ee6b04c2b-ref.fasta.75
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-6255fe77cdaff2878a49d0145ff6776f-ref.fasta.23
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-7509e4cb571ce79ae966eca79dc1dd5d-ref.fasta.43
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-1b98e087a46ce99a2ffa4a9045e00f1c-ref.fasta.71
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-a1b07747a9a300e5e67fd64459349a47-ref.fasta.72
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-6a3566a41d4cc2c0ac4ec7bfaab41382-query.fastq.6
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-1e1985547bd185ddfff8586fb564cf05-ref.fasta.56
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-2a278d767b3c1eecdf4ecc1907d928f1-ref.fasta.96
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-a2792d718b5c0288a5eb7fae4c2221f6-ref.fasta.74
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-12f74b83f5f1f0924035fede1ab30a10-ref.fasta.55
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-e12986ebc464dac7f0b0058f77809607-test.fasta.17
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-5dddaa02cda0278338ee1a9573d0d495-ref.fasta.58
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-b8b2cf1b96c384c3e1a11a8277300acb-ref.fasta.65
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-abeb2727ca9c4091778edaeb15a7c5b1-ref.fasta.70
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-4168598b82e1e2ebb63a7d86caf50185-ref.fasta.28
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-1ae7213b8b7cc4b7c0e10ebaeeca2ab9-ref.fasta.27
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-d4ff2b390cdd34b642d74a1cd1b59b97-ref.fasta.pac
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-81e4285476e20b70ee543f40aa0fd6bc-ref.fasta.54
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-721aaf1524a5dc2f36a94b49c3f5d86a-ref.fasta.14
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-ff77226fd2575eaf6d2aa2e8aded26af-ref.fasta.68
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-bf3115c82377a77ae1e2edeca44e5a86-ref.fasta.83
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-6b77758e715240c9b679c49306fe2944-ref.fasta.52
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-7649efd0db4ef988da69fb585788a4dd-ref.fasta.39
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-e1af37b18745ab00ff1aa35803e1fc31-ref.fasta.47
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-366d3c2c81ebc3be3a65de8f1315194f-ref.fasta.50
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-40270ff4240d4ee0a2a2264053bee38d-ref.fasta.7
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-7c6b6de8591e484b855e5d604b284b7f-ref.fasta.62
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-5913a6d569285ed628a484e34fd3c8a4-ref.fasta.53
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-9ae624b2bed16864dec7d9179e0d8396-ref.fasta.63
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-595d6fd0783af5f1f9d6ac327ab7d0ae-ref.fasta.13
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-f6180873c6bcf6cfbbf9b9300d0d79ef-ref.fasta.0
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-3410183026126208c01eade572fb5bdf-test.fasta.8
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-11086871bd7c5a8d9ef50ddc34652dc4-ref.fasta.38
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-3c684903ad7beb0f07c70d32ce209cf3-test.fasta.9
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-7ebb87a80850a1ade2cff2ceccf5129c-ref.fasta.51
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-fb3ec5b7bc74b099f9b85fafce1dcdf1-ref.fasta.29
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-ca460a46b92c00497c427b9d5c9ec7aa-query.fastq.2
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-29436c2005b42ffca723272f188a24f3-ref.fasta.35
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-25a16fc2d472252b5fba2a0fe26d77ad-ref.fasta.73
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-2bcc686d6c516d8fbae85feb7f639cd2-ref.fasta.46
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-0d93fd3812287dfef20102e293f224d9-ref.fasta.11
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-8c01ff49b1bac5dc2eea9e2a868b0a59-ref.fasta.15
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-1e2ccc2800e62719f71c768767d32c8d-ref.fasta.48
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-af4883bae18b8169ace09c1fbbe4e952-test.fasta.12
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-47088b0540b60ccb8751dc65660d6bab-ref.fasta.85
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-7c5feeaf69ccc86ea59ef0ec05f2de87-ref.fasta.90
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-2074b572c8323b0fa32c1f74d40e6f33-ref.fasta.32
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-971da570f958f7598fb58342dc472274-ref.fasta.sa
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-861f258aeedab7469eb02fd8febc6d36-test.fasta.13
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-1aba5e7adecebe065db19a405fb8bdf0-ref.fasta.amb
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-7ab30a43881e8e0cd0a3ea551fefd6f9-ref.fasta.78
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-9d4591a0309983c19547ae292f9fa39e-ref.fasta.49
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-44e691287a28f8fe43f6653302546d8f-test.fasta.2
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-12470dc35ac3e9d7f02a76cc8a9c00ea-ref.fasta.19
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-c3a7eea4528f3888f4f96bb51f86b0ae-test.fasta.4
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-e2087ea59ad023a9a6b94da242aa400a-ref.fasta.99
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-40fd5f960224a9a20c2e8e46163bd3bc-test.fasta.0
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-b08c3e9746692f64bcb9a448620c7967-ref.fasta
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-048045060f61089a83cce204e6b8f151-corr.out
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-f4e5d6ff9260756e956ec7c8817d32bf-query.fastq.8
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-4b44ee8dff46dd1aa4bb1511d9442a2e-ref.fasta.5
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-917a4e2b83f3c1cbe7ad084772249437-ref.fasta.12
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-66a7c2298b067a1446520d30478331eb-ref.fasta.88
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-daa9c57850b857b80eefebbca6aa18ce-blastall
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-ebb823aa7f8ca0bee255225c31ab00f1-ref.fasta.76
2019/11/25 18:48:47.42 work_queue_worker[1] wq: tx to master: info cached_files file-0-17ddf63c75cb0ddda4648bacc86a279d-ref.fasta.26
